brand,confidence,source,freq,sg_entities,foreign_branch,sample_entities
TotalEnergies,high,entity_results,4.0,23,1,TOTALENERGIES EP BOBARA PTE. LTD. | TOTALENERGIES RENEWABLES DG DEVELOPMENT ASIA PTE. LTD. | TOTALENERGIES RENEWABLES PROJECTS VIETNAM PTE. LTD.
Chevron,high,entity_results,17.0,22,1,CHEVRON EGYPT HOLDINGS A PTE. LTD. | CHEVRON INTERNATIONAL HOLDINGS PTE. LTD. | CHEVRON ASIA PACIFIC SHIPPING PTE. LTD.
Mitsubishi,high,curated,,21,1,MITSUBISHI CHEMICAL METHACRYLATES SINGAPORE PTE. LTD. | MITSUBISHI CHEMICAL SINGAPORE PTE. LTD. | MITSUBISHI PENCIL CO (S.E.A.) PTE LTD
ACS,high,entity_results,1.0,21,1,ACS CONCEPT PTE. LTD. | ACS AIR SPEED CARGO SERVICES SDN. BHD. (Singapore Branch) | ACS M&E PTE. LTD.
Equinix,high,entity_results,5.0,21,0,EQUINIX APAC 1 HYPERSCALE HOLDINGS 2 PTE. LTD. | EQUINIX ASIA FINANCING CORPORATION PTE. LTD. | EQUINIX APAC HYPERSCALE 3 LP
Taiyo,high,entity_results,1.0,21,1,TAIYO HOLDINGS 1 PTE. LTD. | TAIYO HOLDINGS 2 PTE. LTD. | TAIYO (SINGAPORE) TRADING PTE. LTD.
Brookfield,high,entity_results,6.0,20,0,BROOKFIELD INVESTMENTS PTE. LTD. | BROOKFIELD GLOBAL TRANSITION FUND CN HOLDINGS PTE. LTD. | BROOKFIELD ASIA HOLDINGS PTE. LTD.
Deloitte,high,entity_results,14.0,20,1,DELOITTE CONSULTING (SEA) HOLDINGS PTE. LTD. | DELOITTE & TOUCHE MANAGEMENT SERVICES PTE LTD | DELOITTE SINGAPORE SR&T CORPORATE FINANCE PTE. LTD.
GSK,high,curated,,20,0,GSK GROUP PTE. LTD. | GSK ASSOCIATE BUILDERS PTE. LTD. | GSK CREATIVE PTE. LTD.
Prudential,high,curated,,19,0,PRUDENTIAL PUBLIC ACCOUNTING CORPORATION | PRUDENTIAL AMPRI CLEANROOM SERVICES PTE LTD | PRUDENTIAL BPO PTE. LTD.
Aon,high,entity_results,2.0,19,1,AON INSURANCE AGENCIES PTE LTD | AON POLAR SINGAPORE 7 PTE. LTD. | AON SINGAPORE ACQUISITION PTE. LTD.
Cubic,high,entity_results,1.0,19,1,WHITE CUBIC PTE. LTD. | RED CUBIC INVESTMENT PTE. LTD. | CUBIC DECO PTE. LTD.
Sime Darby,high,entity_results,3.0,18,1,SIME DARBY ENERGY PTE. LTD. | SIME DARBY AUTO SELECTION LIMITED | SIME DARBY PROPERTY (DC 1 HOLDINGS) PTE. LTD.
Grab,high,entity_results,3.0,18,0,GRG GRAB & GO PTE. LTD. | WONDERFUL GRAB N GO INVESTMENT PTE. LTD. | MY GRAB N GO SHOP PTE. LTD.
Lotte,high,entity_results,1.0,18,1,"LOTTE DUTY FREE SINGAPORE PTE. LTD. | LOTTE TRAVEL RETAIL SINGAPORE PTE. LTD. | LOTTE ENGINEERING & CONSTRUCTION CO., LTD. Singapore Branch"
Manulife,high,entity_results,6.0,17,0,MANULIFE US REIT BETA 5 (SINGAPORE) PTE. LTD. | MANULIFE US REIT BETA 6 (SINGAPORE) PTE. LTD. | MANULIFE US REIT BETA 3 (SINGAPORE) PTE. LTD.
Dyson,high,curated,,17,0,DYSON OPERATIONS PTE. LTD. | CENTRA DYSON PTE. LTD. | DYSON SINGAPORE PTE. LIMITED
Nomura,high,entity_results,2.0,17,1,NOMURA ASIA INVESTMENT (INDIA POWAI) PTE. LTD. | NOMURA INTERNATIONAL FUNDING PTE. LTD. | NOMURA DESIGN & ENGINEERING SINGAPORE PTE. LTD.
Trafigura,high,entity_results,1.0,17,1,TRAFIGURA OVERSEAS PROJECTS PTE. LTD. | TRAFIGURA BEHEER B.V. | TRAFIGURA ASIA TRADING PTE. LTD.
Olympus,high,curated,,17,0,M. OLYMPUS PTE. LTD. | OLYMPUS SINGAPORE PTE. LTD. | VIDA OLYMPUS INVESTMENT HOLDINGS PTE. LTD.
Hanwha,high,entity_results,2.0,16,1,HANWHA OFFSHORE SERVICES SINGAPORE PTE. LTD. | HANWHA OFFSHORE SOLUTIONS SINGAPORE PTE. LTD. | HANWHA OCEAN OFFSHORE HOLDINGS PTE. LTD.
Goldman Sachs,high,entity_results,16.0,16,0,GOLDMAN SACHS CAPITAL HOLDINGS III PTE. LTD. | GOLDMAN SACHS INDIA INVESTMENTS (SINGAPORE) PTE. LTD. | GOLDMAN SACHS CAPITAL HOLDINGS I PTE. LTD.
Seamless,high,entity_results,1.0,15,1,SEAMLESS INFOTECH PTE. LTD. | SEAMLESS INTERIOR PTE. LTD. | SEAMLESS BUSINESS SOLUTIONS PTE. LTD.
Singapore Technologies,high,entity_results,2.0,15,0,SINGAPORE TECHNOLOGIES INDUSTRIAL CORPORATION LTD | SINGAPORE TECHNOLOGIES LOGISTICS PTE LTD | TORNADO SINGAPORE TECHNOLOGIES PTE. LTD.
SAP,high,entity_results,6.0,14,0,SAP HEAVY DUTY SERVICES PTE. LTD. | SAP SERVICES PTE. LTD. | SAP ENGINEERING PTE. LTD.
Infosys,high,curated,,14,1,INFOSYS DISTRIBUTION PTE. LTD. | VENUS INFOSYS PTE. LTD. | INFOSYS LIMITED Singapore Branch
Deutsche,high,entity_results,1.0,14,1,LUFTHANSA GERMAN AIRLINES (DEUTSCHE LUFTHANSA AKTIENGESELLSCHAFT) | DEUTSCHE ASIA   ACTIFS MANAGEMENT CORPORATION PTE. LTD. | DEUTSCHE BOERSE MARKET DATA+SERVICES SINGAPORE PTE. LTD.
Uber,high,entity_results,2.0,14,0,UBER MANAGEMENT PTE. LTD. | UBER CHEMICALS PTE. LTD. | UBER EVENTS PTE. LTD.
Kajima,high,entity_results,1.0,14,1,KAJIMA ASIA PACIFIC HOLDINGS PTE. LTD. | KAJIMA DEVELOPMENT VIETNAM PTE. LTD. | KAJIMA MYANMAR HOLDING PTE. LTD.
ENGIE,high,entity_results,2.0,14,1,ENGIE ENERGY MARKETING SINGAPORE PTE. LTD. | ENGIE FACTORY ASIA-PACIFIC PTE. LTD. | ENGIE RENEWABLE SEA PTE. LTD.
Eastman,high,entity_results,1.0,13,1,EASTMAN MINERALS PTE. LTD. | EASTMAN CHEMICAL (PPU) PTE. LTD. | EASTMAN CHEMICAL SINGAPORE PTE. LTD.
Ascendas REIT,high,entity_results,1.0,13,0,ASCENDAS REIT JAPAN I PTE. LTD. | ASCENDAS REIT (EUROPE) 2 PTE. LTD. | ASCENDAS REIT SINGAPORE HOLDCO 1 PTE. LTD.
GES,high,entity_results,1.0,13,1,GES LOGISTICS (ASIA-PACIFIC) PTE. LTD. | GES GLOBAL EDUCATIONAL SERVICES (S) PTE. LTD. | GES LINK (S) PTE. LTD.
